,IDV,SUBPOP,ANC
c.chromsome.49,c.24,c,c
c.chromsome.50,c.25,c,c
c.chromsome.51,c.25,c,a
c.chromsome.52,c.26,c,c
c.chromsome.53,c.26,c,c
c.chromsome.54,c.27,c,d
c.chromsome.55,c.27,c,c
c.chromsome.56,c.28,c,c
c.chromsome.57,c.28,c,c
c.chromsome.58,c.29,c,c
c.chromsome.59,c.29,c,c
c.chromsome.60,c.30,c,a
c.chromsome.61,c.30,c,c
c.chromsome.62,c.31,c,c
c.chromsome.63,c.31,c,b
c.chromsome.64,c.32,c,c
c.chromsome.65,c.32,c,a
c.chromsome.66,c.33,c,b
c.chromsome.67,c.33,c,d
c.chromsome.68,c.34,c,c
c.chromsome.69,c.34,c,c
c.chromsome.70,c.35,c,d
c.chromsome.71,c.35,c,b
c.chromsome.72,c.36,c,b
c.chromsome.73,c.36,c,b
c.chromsome.74,c.37,c,a
c.chromsome.75,c.37,c,c
c.chromsome.76,c.38,c,a
c.chromsome.77,c.38,c,b
c.chromsome.78,c.39,c,c
c.chromsome.79,c.39,c,b
c.chromsome.80,c.40,c,c
c.chromsome.81,c.40,c,c
c.chromsome.82,c.41,c,d
c.chromsome.83,c.41,c,b
c.chromsome.84,c.42,c,c
c.chromsome.85,c.42,c,a
c.chromsome.86,c.43,c,c
c.chromsome.87,c.43,c,c
c.chromsome.88,c.44,c,a
c.chromsome.89,c.44,c,c
c.chromsome.90,c.45,c,b
c.chromsome.91,c.45,c,c
c.chromsome.92,c.46,c,c
c.chromsome.93,c.46,c,c
c.chromsome.94,c.47,c,c
c.chromsome.95,c.47,c,b
c.chromsome.96,c.48,c,c
c.chromsome.97,c.48,c,d
c.chromsome.98,c.49,c,a
c.chromsome.99,c.49,c,c
d.chromsome.0,d.0,d,d
d.chromsome.1,d.0,d,c
d.chromsome.2,d.1,d,c
d.chromsome.3,d.1,d,b
d.chromsome.4,d.2,d,b
d.chromsome.5,d.2,d,a
d.chromsome.6,d.3,d,b
d.chromsome.7,d.3,d,d
d.chromsome.8,d.4,d,d
d.chromsome.9,d.4,d,d
d.chromsome.10,d.5,d,b
d.chromsome.11,d.5,d,a
d.chromsome.12,d.6,d,b
d.chromsome.13,d.6,d,d
d.chromsome.14,d.7,d,a
d.chromsome.15,d.7,d,a
d.chromsome.16,d.8,d,d
d.chromsome.17,d.8,d,c
d.chromsome.18,d.9,d,d
d.chromsome.19,d.9,d,d
d.chromsome.20,d.10,d,a
d.chromsome.21,d.10,d,d
d.chromsome.22,d.11,d,a
d.chromsome.23,d.11,d,d
d.chromsome.24,d.12,d,d
d.chromsome.25,d.12,d,d
d.chromsome.26,d.13,d,d
d.chromsome.27,d.13,d,a
d.chromsome.28,d.14,d,d
d.chromsome.29,d.14,d,d
d.chromsome.30,d.15,d,d
d.chromsome.31,d.15,d,d
d.chromsome.32,d.16,d,b
d.chromsome.33,d.16,d,d
d.chromsome.34,d.17,d,b
d.chromsome.35,d.17,d,d
d.chromsome.36,d.18,d,d
d.chromsome.37,d.18,d,d
d.chromsome.38,d.19,d,a
d.chromsome.39,d.19,d,d
d.chromsome.40,d.20,d,a
d.chromsome.41,d.20,d,c
d.chromsome.42,d.21,d,a
d.chromsome.43,d.21,d,a
d.chromsome.44,d.22,d,a
d.chromsome.45,d.22,d,a
d.chromsome.46,d.23,d,b
d.chromsome.47,d.23,d,d
d.chromsome.48,d.24,d,d
d.chromsome.49,d.24,d,c
d.chromsome.50,d.25,d,d
d.chromsome.51,d.25,d,d
d.chromsome.52,d.26,d,c
d.chromsome.53,d.26,d,c
d.chromsome.54,d.27,d,b
d.chromsome.55,d.27,d,a
d.chromsome.56,d.28,d,c
d.chromsome.57,d.28,d,c
d.chromsome.58,d.29,d,d
d.chromsome.59,d.29,d,d
d.chromsome.60,d.30,d,d
d.chromsome.61,d.30,d,a
d.chromsome.62,d.31,d,d
d.chromsome.63,d.31,d,c
d.chromsome.64,d.32,d,d
d.chromsome.65,d.32,d,b
d.chromsome.66,d.33,d,d
d.chromsome.67,d.33,d,d
d.chromsome.68,d.34,d,a
d.chromsome.69,d.34,d,a
d.chromsome.70,d.35,d,a
d.chromsome.71,d.35,d,d
d.chromsome.72,d.36,d,a
d.chromsome.73,d.36,d,d
d.chromsome.74,d.37,d,d
d.chromsome.75,d.37,d,c
d.chromsome.76,d.38,d,a
d.chromsome.77,d.38,d,d
d.chromsome.78,d.39,d,c
d.chromsome.79,d.39,d,c
d.chromsome.80,d.40,d,d
d.chromsome.81,d.40,d,d
d.chromsome.82,d.41,d,d
d.chromsome.83,d.41,d,c
d.chromsome.84,d.42,d,d
d.chromsome.85,d.42,d,d
d.chromsome.86,d.43,d,c
d.chromsome.87,d.43,d,c
d.chromsome.88,d.44,d,c
d.chromsome.89,d.44,d,c
d.chromsome.90,d.45,d,d
d.chromsome.91,d.45,d,c
d.chromsome.92,d.46,d,d
d.chromsome.93,d.46,d,b
d.chromsome.94,d.47,d,b
d.chromsome.95,d.47,d,d
d.chromsome.96,d.48,d,a
d.chromsome.97,d.48,d,d
d.chromsome.98,d.49,d,d
d.chromsome.99,d.49,d,b
